"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1710433,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1781930,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1867752,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1856814,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1886103,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1991534,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2083379,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,2158038,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,2071629,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,2335728,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1544317,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1628096,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1594857,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1698631,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1795353,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1862757,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1932169,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,2013521,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,2040370,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,2071988,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,2188378,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2279171,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,2347352,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,2259534,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,2511197,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,783930,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,819727,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,812073,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,837683,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,883045,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,923413,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,961179,,
