"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,1105074,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,1165456,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,1241733,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,1323865,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,1395881,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1473053,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1555045,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1469118,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1559049,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1662354,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1710433,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1781930,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1867752,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1856814,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1886103,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1991534,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2083379,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,2158038,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,2071629,,
"CAN","Canada","B1G_P119","Gross value added at basic prices, excluding FISIM","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,2335728,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,747121,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,782316,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,805553,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,826408,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,888284,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,921401,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,970149,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,1042525,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,1079009,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,1140325,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,1205035,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,1275866,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,1364909,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,1455623,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1544317,,
